
GeoFips,GeoName,LineCode,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
36033,"Franklin, NY",3,Current-dollar GDP (thousands of current dollars),1071405,1125164,1198730,1276251,1298686,1356128,1446851,1524377,1569888,1692655,1762974,1785873,1827173,1803353,1806135,1870526,1906558,1926994,2021054,1996803,2171496,2377318
36035,"Fulton, NY",1,Real GDP (thousands of chained 2017 dollars),1573899,1605472,1670005,1740739,1725907,1730702,1689483,1702221,1728502,1824789,1784308,1789951,1812043,1736876,1743914,1895679,1885996,1829069,1903639,1830046,1811181,1834847
36035,"Fulton, NY",2,Chain-type quantity indexes for real GDP,83.452,85.126,88.548,92.298,91.512,91.766,89.580,90.256,91.649,96.755,94.608,94.907,96.079,92.093,92.466,100.513,100.000,96.982,100.935,97.033,96.033,97.288
36035,"Fulton, NY",3,Current-dollar GDP (thousands of current dollars),1170869,1217297,1285777,1366437,1379232,1420122,1424183,1460434,1521206,1610588,1588817,1625387,1674199,1635888,1687091,1869444,1885996,1869805,1991071,1978369,2034666,2199868
36037,"Genesee, NY",1,Real GDP (thousands of chained 2017 dollars),2243972,2150243,2183880,2217314,2260708,2261858,2275563,2302921,2321855,2355087,2352674,2304449,2346855,2387215,2434347,2403903,2374864,2458721,2471004,2338823,2384296,2438446
36037,"Genesee, NY",2,Chain-type quantity indexes for real GDP,94.488,90.542,91.958,93.366,95.193,95.242,95.819,96.971,97.768,99.167,99.066,97.035,98.821,100.520,102.505,101.223,100.000,103.531,104.048,98.482,100.397,102.677
36037,"Genesee, NY",3,Current-dollar GDP (thousands of current dollars),1577416,1533360,1597856,1679455,1744312,1799133,1897393,1955162,1992279,2051948,2111165,2124086,2217595,2292044,2372728,2360316,2374864,2505817,2577478,2502178,2699888,3017501
36039,"Greene, NY",1,Real GDP (thousands of chained 2017 dollars),1396973,1470603,1677296,2059854,2197127,2498418,2184242,2347072,2358214,2571383,2332258,2575920,2331433,2249781,2343880,2430499,2478772,2374522,2296907,2273615,2366047,2784197
36039,"Greene, NY",2,Chain-type quantity indexes for real GDP,56.357,59.328,67.666,83.100,88.638,100.793,88.118,94.687,95.136,103.736,94.089,103.919,94.056,90.762,94.558,98.053,100.000,95.794,92.663,91.723,95.452,112.322
36039,"Greene, NY",3,Current-dollar GDP (thousands of current dollars),978972,1055681,1230858,1553213,1712317,2029412,1810838,1968814,2082606,2255507,2072868,2311833,2143633,2133168,2269769,2371195,2478772,2449042,2426483,2440052,2701732,3456481
36041,"Hamilton, NY",1,Real GDP (thousands of chained 2017 dollars),186240,196058,209064,217263,216315,212739,217163,218648,236097,245215,262443,253583,250726,261080,250690,252632,233351,233210,231065,227567,223186,227776
36041,"Hamilton, NY",2,Chain-type quantity indexes for real GDP,79.811,84.019,89.592,93.106,92.699,91.167,93.063,93.699,101.177,105.084,112.467,108.670,107.446,111.883,107.430,108.263,100.000,99.940,99.021,97.522,95.644,97.611
36041,"Hamilton, NY",3,Current-dollar GDP (thousands of current dollars),125748,136582,148779,159308,164313,167703,176394,181303,199536,207834,225041,222261,225026,240562,238971,246942,233351,239763,244207,247825,250111,268819
36043,"Herkimer, NY",1,Real GDP (thousands of chained 2017 dollars),1849124,1948230,1898411,1841149,1776899,1692502,1677498,1673014,1719512,1787431,1789505,1801460,1861866,1886003,1815721,1773022,1730399,1760828,1822195,1770381,1739737,1718324
36043,"Herkimer, NY",2,Chain-type quantity indexes for real GDP,106.861,112.589,109.709,106.400,102.687,97.810,96.943,96.684,99.371,103.296,103.416,104.107,107.597,108.992,104.931,102.463,100.000,101.759,105.305,102.311,100.540,99.302
36043,"Herkimer, NY",3,Current-dollar GDP (thousands of current dollars),1315082,1407100,1394546,1390274,1367843,1338206,1369440,1395586,1484924,1545242,1571183,1621578,1717076,1771216,1750062,1747155,1730399,1802310,1918127,1918028,1969521,2101932
36045,"Jefferson, NY",1,Real GDP (thousands of chained 2017 dollars),4932546,4956641,5194721,5451516,5958947,6300463,6431099,6756297,6980314,7298119,7481518,7272451,7070837,6888211,6672802,6541691,6422238,6376427,6361905,6162157,6333785,6340740
36045,"Jefferson, NY",2,Chain-type quantity indexes for real GDP,76.804,77.179,80.886,84.885,92.786,98.104,100.138,105.202,108.690,113.638,116.494,113.239,110.099,107.256,103.902,101.860,100.000,99.287,99.061,95.950,98.623,98.731
36045,"Jefferson, NY",3,Current-dollar GDP (thousands of current dollars),3388664,3514262,3803978,4119337,4642624,5086405,5373459,5763766,6087622,6463939,6755913,6669093,6599887,6571523,6479556,6419991,6422238,6537982,6673007,6615735,7122149,7597846
36047,"Kings, NY",1,Real GDP (thousands of chained 2017 dollars),63113339,64085750,65048246,65872618,65572846,65657695,67518605,69612317,71191554,73920501,74146660,76808297,79133737,82176799,86286764,88445504,90473234,98917400,103556746,99716770,102898460,107274215
36047,"Kings, NY",2,Chain-type quantity indexes for real GDP,69.759,70.834,71.898,72.809,72.478,72.571,74.628,76.942,78.688,81.704,81.954,84.896,87.466,90.830,95.373,97.759,100.000,109.333,114.461,110.217,113.734,118.570
36047,"Kings, NY",3,Current-dollar GDP (thousands of current dollars),43776097,45704382,47416863,49283198,50509561,52354632,55335811,58138732,60719142,63652518,64690953,68504611,72108617,76563089,82582097,86707951,90473234,101276102,108662736,107584454,114670867,125866867
36049,"Lewis, NY",1,Real GDP (thousands of chained 2017 dollars),710426,757806,778719,770142,797929,866827,907053,890550,933054,981797,983781,945922,966678,1031311,1012128,1058847,1065508,1057155,1106714,1052892,1095018,1180637
36049,"Lewis, NY",2,Chain-type quantity indexes for real GDP,66.675,71.122,73.084,72.279,74.887,81.353,85.129,83.580,87.569,92.144,92.330,88.777,90.725,96.790,94.990,99.375,100.000,99.216,103.867,98.816,102.770,110.805
36049,"Lewis, NY",3,Current-dollar GDP (thousands of current dollars),510356,551932,580331,593582,619327,692198,760904,761014,821561,871845,902389,882089,931105,1013071,993490,1032559,1065508,1072795,1145364,1113254,1249737,1472456
36051,"Livingston, NY",1,Real GDP (thousands of chained 2017 dollars),1804379,1819996,1859506,1913191,1902976,1899160,1988815,2037637,1947711,2089396,2107917,2076633,2129584,2113869,2048416,2064624,2137488,2236676,2237999,2063724,2122378,2137940
36051,"Livingston, NY",2,Chain-type quantity indexes for real GDP,84.416,85.146,86.995,89.507,89.029,88.850,93.044,95.329,91.121,97.750,98.617,97.153,99.630,98.895,95.833,96.591,100.000,104.640,104.702,96.549,99.293,100.021
36051,"Livingston, NY",3,Current-dollar GDP (thousands of current dollars),1216965,1259499,1312172,1389978,1432145,1480421,1607115,1690012,1661305,1805325,1867708,1888356,1986239,2005640,1980235,2023078,2137488,2282531,2339604,2223635,2406305,2607266
36053,"Madison, NY",1,Real GDP (thousands of chained 2017 dollars),2051829,2068213,2124630,2204027,2183836,2116668,2183105,2258276,2230131,2351324,2342636,2320641,2306137,2350925,2334865,2260296,2318670,2362798,2348829,2240817,2256545,2326686
36053,"Madison, NY",2,Chain-type quantity indexes for real GDP,88.492,89.198,91.631,95.056,94.185,91.288,94.153,97.395,96.181,101.408,101.034,100.085,99.459,101.391,100.698,97.482,100.000,101.903,101.301,96.642,97.321,100.346
36053,"Madison, NY",3,Current-dollar GDP (thousands of current dollars),1449587,1488443,1557120,1671432,1699949,1711032,1823997,1924534,1928091,2055890,2089276,2114900,2143556,2228377,2253545,2217201,2318670,2416417,2458123,2408141,2539057,2801408
