"iso","adm1","adm2","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"USA",33,36,2007,21.2179036895724810,6095.6724245282287
"USA",33,37,2007,128.963025003359515535,38945.846778730316992
"USA",33,38,2007,12.522269148350693004,3341.095306659709989
"USA",33,39,2007,73.89949773484585572,21239.978454206146982
"USA",33,40,2007,47.595361094947892926,17001.521781507650792
"USA",33,41,2007,48.57711138617194172,16001.845329902266992
"USA",33,42,2007,0.82030630605251732,222.58214578683472
"USA",33,43,2007,162.5366210983676265,57475.88957156337058
"USA",33,44,2007,2.0574302562586813,670.01695868357067
"USA",33,45,2007,15.32529075621961653,5192.534969749540774
"USA",33,46,2007,565.274833842216800225,139454.3099385310833095
"USA",33,47,2007,408.69807431159855377,155268.80111399322505
"USA",33,48,2007,22.25435769835716988,7517.87835716983311
"USA",33,49,2007,94.520206493426577064,36724.862181100293152
"USA",33,50,2007,42.33503781268882885,14362.8112946993807
"USA",33,51,2007,22.99493256358072739,7062.402468856991083
"USA",33,52,2007,113.2385020277950908,31772.83802474162848
"USA",33,53,2007,140.23615298635154710,43107.987066513637274
"USA",33,54,2007,133.430869393942984844,43588.529841526813197
"USA",33,55,2007,41.8466377846505500,15081.0593159922622
"USA",33,56,2007,24.35634289250652314,8852.86278215721448
"USA",33,57,2007,102.15450933962670608,34269.355762738837430
"USA",33,58,2007,251.434821521972274574,97009.294199213584086
"USA",33,59,2007,94.784228175562101686,34812.405969658253485
"USA",33,60,2007,34.20082809167102269,9236.8644648186728922
"USA",33,61,2007,76.53617468995874374,26946.02145130757077
"USA",33,62,2007,54.8315661231879304,16322.06302800559189
"USA",33,63,2007,12.9355470073936663,3534.9345165902898
"USA",33,1,2008,65.47836443444880888,22372.45586284744807
"USA",33,2,2008,206.19722955594591657,69315.24219489362283
"USA",33,3,2008,1.4051632230078126,365.8987842484215
"USA",33,4,2008,69.67118468978063771,24651.32375198601652
"USA",33,5,2008,167.75390475774089690,59402.805177052238840
"USA",33,6,2008,86.194564928771703635,28891.582245929669948
"USA",33,7,2008,97.2611434379339403,30753.031469012343006
"USA",33,8,2008,69.76222579158182583,21563.71368905059197
"USA",33,9,2008,54.138613332897110905,20142.887864533893598
"USA",33,10,2008,438.348333005441184620,127724.389287173816261
"USA",33,11,2008,59.96428306687493779,21795.510577279800577
"USA",33,12,2008,28.31827016162106855,10690.077425054373652
"USA",33,13,2008,89.81104543999785907,32890.11303690422032
"USA",33,14,2008,73.27368689141713848,24644.322496597308222
"USA",33,15,2008,52.904410503057729745,13968.670029630253730
"USA",33,16,2008,284.65656041251462293,95072.281743508409288
"USA",33,17,2008,478.336588186735768221,142091.4370984520713394
"USA",33,18,2008,74.838549475334261610,26816.867870146213197
"USA",33,19,2008,5.83375821822265570,1633.859522297884644
"USA",33,20,2008,75.822437017341658596,28773.275503176164933
"USA",33,21,2008,143.175891184103818935,48807.448384925991657
"USA",33,22,2008,104.42001865408204492,34265.103379397769954
"USA",33,23,2008,114.37571382108069023,30423.565011843368858
"USA",33,25,2008,1.447807076204427265,310.076174303566410
"USA",33,26,2008,231.74663541929691269,74322.500590398717610
"USA",33,27,2008,30.1650592274587598,8969.329682543277324
"USA",33,28,2008,39.29738795325738299,13822.113504331184185
"USA",33,29,2008,30.72371257501085426,8821.888605016830994
"USA",33,30,2008,17.238614366113255296,5095.0746644969170294
"USA",33,31,2008,14.41095998345052068,4861.358916467729773
"USA",33,32,2008,0.5856827074934896,94.2724543822664
"USA",33,33,2008,23.92861187093967805,3948.110994003249948
"USA",33,34,2008,107.029134019620261590,37708.635404526626222
"USA",33,35,2008,70.23130358732640659,19559.392458172808175
"USA",33,36,2008,49.389724753257366532,15850.777759227899924
"USA",33,37,2008,111.09454623744801194,35401.586729911808495
"USA",33,38,2008,6.037152881503908216,1387.623637817099399
"USA",33,39,2008,171.17559377818380245,51929.325651672364756
